id,email,encrypted_password,reset_password_token,reset_password_sent_at,remember_created_at,sign_in_count,current_sign_in_at,last_sign_in_at,current_sign_in_ip,last_sign_in_ip,created_at,updated_at,name,lastname,surname,role,picture,status,position,rut,phone,street,number,city,district,county,country,department_id,store_id,assigned_shift,begin_shift
19,demo68@tooxs.com,$2a$11$ZfNYzFfP4M12778CUmbw..WTUN7tSHuLSt/gVMjrd2IAtmjYUC306,,,,0,,,,,2018-11-19 14:08:10.7204,2018-11-19 14:08:10.7204,Agustin,Perez,,7,,0,,9.431.626-K,56999999999,El Vergel,323,Santiago,-,Providencia,CL,2,1,1,2017-10-01
20,demo69@tooxs.com,$2a$11$6Y5AzPAPbF0o1gVJauBdJuWq1K8IUTgf5loefsTmkl1CGdAwbsLoS,,,,0,,,,,2018-11-19 14:08:10.911218,2018-11-19 14:08:10.911218,Claudia Andrea,Fuentes,,7,,0,,14.047.672-2,56999999999,Los Poetas,234,Santiago,-,Maipu,CL,5,1,1,2017-10-01
21,demo65@tooxs.com,$2a$11$UkDkDQFpYo8PO/585PbwwOkn9A7h30PKloNPyhLfaXmGwcRzY1ZQe,,,,0,,,,,2018-11-19 14:08:11.245771,2018-11-19 14:08:11.245771,Marcela,Gaete,,7,,0,,6.309.467-6,56999999999,Los espinos,323,Santiago,-,Providencia,CL,1,1,1,2017-10-01
22,demo74@tooxs.com,$2a$11$rq9HQ9hVBbCtEB4TJmyIyuyL0jzlO538hK/EFK5s3X8lFg1pj6PNi,,,,0,,,,,2018-11-19 14:08:11.4533,2018-11-19 14:08:11.4533,Luis,Garcia,,7,,0,,1.377.520-6,56999999999,Los Conquistadores,64,Santiago,-,Providencia,CL,5,1,2,2017-10-01
23,demo73@tooxs.com,$2a$11$baQ7K8PrLIf.QobHqknUqeOyK5IBoRpkF8ABOHWQrPNGQgef.ev7y,,,,0,,,,,2018-11-19 14:08:11.65257,2018-11-19 14:08:11.65257,Maria Jose,Yañez,,7,,0,,16.533.751-4,56999999999,Mapocho,5,Santiago,-,Cerro Navia,CL,2,1,2,2017-10-01
24,demo72@tooxs.com,$2a$11$4JcTseSCjhF6XB1/71V0JuBjNoLkO/RLNEDEUu8izRRICQ9Z2rg2O,,,,0,,,,,2018-11-19 14:08:11.996612,2018-11-19 14:08:11.996612,Luis ,Donoso,,7,,0,,16.204.828-7,56999999999,Av Manuel Rodriguez,332,Santiago,-,Temuco,CL,5,1,2,2017-10-01
25,demo70@tooxs.com,$2a$11$0dPv1BqhDs6LKsv6/U.cCuVSaMuNoO3uV86AeOpJfuVMtBRz9T6ka,,,,0,,,,,2018-11-19 14:08:12.553933,2018-11-19 14:08:12.553933,Carla,Cuevas,,7,,0,,14.537.332-8,56999999999,Costanera,22,Santiago,-,Vitacura,CL,2,1,3,2017-10-01
26,demo71@tooxs.com,$2a$11$TaocQ6oQ4x0AmmhYbS26YOhLToXnKGPjTcb.Xkdj9dMPbjDMagTe.,,,,0,,,,,2018-11-19 14:08:12.985567,2018-11-19 14:08:12.985567,Lucia,Arellano,,7,,0,,8.157.465-0,56999999999,Los Robles,556,Santiago,-,Puente Alto,CL,5,1,4,2017-10-01
27,demo88@tooxs.com,$2a$11$8PUx59qqHvw4IFK6ibUyj.Eawtw2ycAAFLxCuKuR2yFXYgdsIXN4O,,,,0,,,,,2018-11-19 14:08:13.59142,2018-11-19 14:08:13.59142,Francisca ,Pino,,7,,0,,8.882.104-1,56999999999,Av. Alemania,6332,Santiago,-,San Pedro de la Paz,CL,5,1,1,2017-10-01
28,demo89@tooxs.com,$2a$11$IIrBU80SGDDTM4Zw5jX8SeSS8zPrJwlQBEpHnK7pjjk1CdQdGUfZu,,,,0,,,,,2018-11-19 14:08:13.978989,2018-11-19 14:08:13.978989,Lorena,Rodriguez,,7,,0,,4.830.131-2,56999999999,Av. Sting,664,Santiago,-,La Reina,CL,5,1,2,2017-10-01
29,demo90@tooxs.com,$2a$11$ASv4miTIr32vlfAbrxdxcOqbCngTePyi.Q3pcsmWsmfxmHN5nqw/K,,,,0,,,,,2018-11-19 14:08:14.279858,2018-11-19 14:08:14.279858,Marcelo,Lorenzini,,7,,0,,9.282.670-8,56999999999,Av Balmaceda,313,Santiago,-,Macul,CL,2,1,7,2017-10-01
30,demo91@tooxs.com,$2a$11$gzDrZYXMwWCkEbuAILzZGeHiMZeaDzs2BDFUs0de9Kjw13kFfjHAi,,,,0,,,,,2018-11-19 14:08:14.781584,2018-11-19 14:08:14.781584,Claudio,Rojas,,7,,0,,6.715.688-9,56999999999,Los Robles,453,Santiago,-,La Florida,CL,2,1,8,2017-10-01
31,demo92@tooxs.com,$2a$11$o.ewjGP0XwbjitPQI2rxpugi6pIzyPKRCWyA7BAf6NBz3nVDhExXS,,,,0,,,,,2018-11-19 14:08:15.149596,2018-11-19 14:08:15.149596,Felipe,Catalan,,7,,0,,8.618.478-8,56999999999,Tobalaba,44,Santiago,-,Providencia,CL,5,1,1,2017-10-01
32,demo93@tooxs.com,$2a$11$tm4WEjz4tkCEvDmLm2Pbju8IedJa.ELNPA5WitHjBy/JH.IDTm.Cm,,,,0,,,,,2018-11-19 14:08:15.541412,2018-11-19 14:08:15.541412,Loreto,Valenzuela,,7,,0,,11.711.484-8,56999999999,Vitacura,889,Santiago,-,Vitacura,CL,2,1,1,2017-10-01
33,demo94@tooxs.com,$2a$11$ZW5ATO5WTLIH0oPrDjW.Cu1ummFjHAO6YqP6HPlFpwjyqn1KegvYa,,,,0,,,,,2018-11-19 14:08:15.869456,2018-11-19 14:08:15.869456,Marcel,Claude,,7,,0,,8.070.284-1,56999999999,Ricardo Lyon,65,Santiago,-,Providencia,CL,2,1,2,2017-10-01
34,demo95@tooxs.com,$2a$11$X8.Wac6WlauJyI9CZM3TpeQNe0Ks2SBTH.sHILLjn603Rur5I0DZ2,,,,0,,,,,2018-11-19 14:08:16.257391,2018-11-19 14:08:16.257391,Juan Ramon,Rojas,,7,,0,,15.303.704-3,56999999999,Pedro de Valdivia,654,Santiago,-,Providencia,CL,5,1,9,2017-10-01
35,demo96@tooxs.com,$2a$11$lC/EtPf44TE0TriUIrzyQu4JVFUxcORrfZ89R7gu.FbVrMCaPbX9W,,,,0,,,,,2018-11-19 14:08:16.533305,2018-11-19 14:08:16.533305,Sebastian,Jara,,7,,0,,12.421.757-1,56999999999,Holanda,64,Santiago,-,Providencia,CL,5,1,6,2017-10-01
36,demo97@tooxs.com,$2a$11$h7TU6ohDgl0eeWNxsrd4XeOBgXif8i0epsuyESMd2cQEjNCdKVKzm,,,,0,,,,,2018-11-19 14:08:16.914999,2018-11-19 14:08:16.914999,Marcia,Naranjo,,7,,0,,7.059.330-0,56999999999,Los Castaños,221,Santiago,-,Macul,CL,2,1,5,2017-10-01
37,demo98@tooxs.com,$2a$11$S.TGpeUbhiZITOOL5rPibepOE9dOuferWgc6d/PKA8q7um2RqPICm,,,,0,,,,,2018-11-19 14:08:17.26141,2018-11-19 14:08:17.26141,Rocio,Niño,,7,,0,,9.725.248-3,56999999999,El Vergel,323,Santiago,-,Providencia,CL,1,2,1,2017-10-01
38,demo99@tooxs.com,$2a$11$Il8Bv4DcP6zmYyR3xdv2fuXg6Z8KJ.WNoWHCN13SXCHIzxOuPAQWq,,,,0,,,,,2018-11-19 14:08:17.600569,2018-11-19 14:08:17.600569,Lorena,Perez,,7,,0,,12.204.086-0,56999999999,Los Poetas,234,Santiago,-,Maipu,CL,5,2,1,2017-10-01
39,demo62@tooxs.com,$2a$11$RNBhFdkqfAWCJ4WrP5jy.usNQ9vVyPaB9P5KFlrM0LGxdF4g5QRva,,,,0,,,,,2018-11-19 14:08:17.901285,2018-11-19 14:08:17.901285,Patricia,Lopez,,7,,0,,3.589.151-K,56999999999,E ramirez,323,Santiago,-,Providencia,CL,1,2,1,2017-10-01
40,demo63@tooxs.com,$2a$11$8BiUIvf.xvzEPouSH.hRCuO8VMM7VgDYvYZkiRxlfPubQ579fpgVe,,,,0,,,,,2018-11-19 14:08:18.199906,2018-11-19 14:08:18.199906,Lorena,Quezada,,7,,0,,12.503.757-7,56999999999,12 de octubre,64,Santiago,-,Providencia,CL,5,2,2,2017-10-01
41,demo64@tooxs.com,$2a$11$OET1gP0Bv5fvFGfF8LOv5uAD0wZEO0SoCNH7b0/kR/2FZgcFfclzy,,,,0,,,,,2018-11-19 14:08:18.566088,2018-11-19 14:08:18.566088,Gladis,Cerda,,7,,0,,9.221.203-3,56999999999,Caupolica,5,Santiago,-,Cerro Navia,CL,1,2,2,2017-10-01
42,demo26@tooxs.com,$2a$11$/QwwMJw97xRsc/vwD9ml6eeEuPhpRSG2yA5peJDBhWLA7rVKJ.YNC,,,,0,,,,,2018-11-19 14:08:19.009749,2018-11-19 14:08:19.009749,Veronica,Rojas,,7,,0,,12.433.826-3,56999999999,Galvarino,332,Santiago,-,Temuco,CL,5,2,2,2017-10-01
43,demo28@tooxs.com,$2a$11$4H5Ow0aL1.E0uKLKkk6PxuCpr9VzO8adwr0nzdEWlhgf7SC9BofOS,,,,0,,,,,2018-11-19 14:08:19.395122,2018-11-19 14:08:19.395122,Ricardo,Lazcano,,7,,0,,7.904.309-5,56999999999,Vespucio,22,Santiago,-,Vitacura,CL,1,2,3,2017-10-01
44,demo30@tooxs.com,$2a$11$KbJVty62ElOrbhJ6n0Ayy.Jzv3b6WqRyLCreqd6SeYlyddGoXqEBG,,,,0,,,,,2018-11-19 14:08:19.726467,2018-11-19 14:08:19.726467,Maria Jose,Medina,,7,,0,,14.433.038-2,56999999999,Las Horquideas,556,Santiago,-,Puente Alto,CL,5,2,4,2017-10-01
45,demo32@tooxs.com,$2a$11$TyiFJiy2X1amj770O0vwO.eBLWM8JyNhi5s.x9KHBdk5BBaAGZJAK,,,,0,,,,,2018-11-19 14:08:19.993007,2018-11-19 14:08:19.993007,Claudio,Meneses,,7,,0,,13.459.099-8,56999999999,Renato Sanchez,6332,Santiago,-,San Pedro de la Paz,CL,5,2,1,2017-10-01
46,demo31@tooxs.com,$2a$11$zh4iWAoNJb7gAa07RWKpNu3soZKpeV9u6AtjES/r9xghT2gG3PiCm,,,,0,,,,,2018-11-19 14:08:20.260063,2018-11-19 14:08:20.260063,Maritza,Miranda,,7,,0,,11.414.981-0,56999999999,Las Vervenas,664,Santiago,-,La Reina,CL,5,2,2,2017-10-01
47,demo34@tooxs.com,$2a$11$v5dM050DXJDsBZzA5o1NpOWqdN9it.FiIE.MhG7UZ5Gw2dCbinONm,,,,0,,,,,2018-11-19 14:08:20.554574,2018-11-19 14:08:20.554574,Pablo,Soto,,7,,0,,17.595.628-K,56999999999,Holanda,313,Santiago,-,Macul,CL,1,2,7,2017-10-01
48,demo33@tooxs.com,$2a$11$.ZcB16RvHnjnTq0lP50dFuUICroCTuUe0DkMfCNu.h7XLqnQhsqG6,,,,0,,,,,2018-11-19 14:08:20.753387,2018-11-19 14:08:20.753387,Pamela,Ricarte,,7,,0,,7.051.778-7,56999999999,Francisco Bilbao,453,Santiago,-,La Florida,CL,1,2,8,2017-10-01
49,demo36@tooxs.com,$2a$11$nIFgtOGEKf2lxdt3rjCJIuu0dl7ZqELka3VeHUjOqbpigqViqMj5K,,,,0,,,,,2018-11-19 14:08:21.063038,2018-11-19 14:08:21.063038,Juan,Paz,,7,,0,,12.694.230-3,56999999999,Los Conquistadores,44,Santiago,-,Providencia,CL,5,2,1,2017-10-01
50,demo35@tooxs.com,$2a$11$SrC10jsyn7Fxs/qpciOOG.7iwu5BE7Hxf9HP1vBwxURjPs/Lv7zmS,,,,0,,,,,2018-11-19 14:08:21.327315,2018-11-19 14:08:21.327315,Rodrigo,Soto,,7,,0,,9.372.351-1,56999999999,Francia,889,Santiago,-,Vitacura,CL,1,2,1,2017-10-01
51,demo38@tooxs.com,$2a$11$uD1cHWyRXJRpigm.xyQ.fOy6InEDzUp7fMD.i.y//.oHp3h0nQqii,,,,0,,,,,2018-11-19 14:08:21.613807,2018-11-19 14:08:21.613807,Maria Alejandra,Carmona,,7,,0,,6.706.128-4,56999999999,Pasaje Angostura,65,Santiago,-,Providencia,CL,1,2,2,2017-10-01
52,demo37@tooxs.com,$2a$11$qZHGMeIhUTTNEs.3j./VVe7vH0.RjerysB5zDhBrH6VktQ8LvTGAm,,,,0,,,,,2018-11-19 14:08:21.839925,2018-11-19 14:08:21.839925,Tomas,Alcantara,,7,,0,,4.848.653-3,56999999999,Vitacura,654,Santiago,-,Vitacura,CL,5,2,9,2017-10-01
53,demo40@tooxs.com,$2a$11$GPyDjg4GGYdfmtpBtb2TjOsp6UYwKDusCsP46y8Povh/O1G5SHhBa,,,,0,,,,,2018-11-19 14:08:22.153631,2018-11-19 14:08:22.153631,Loreto,Donoso,,7,,0,,6.432.300-8,56999999999,Puente Viejo,64,Santiago,-,Providencia,CL,5,2,6,2017-10-01
54,demo39@tooxs.com,$2a$11$tfHhtaIuHj7VM36ETntSi.16AupLrgIyXde3/dcx/q4dB1Jhz6MgW,,,,0,,,,,2018-11-19 14:08:22.458469,2018-11-19 14:08:22.458469,Diana,Tapia,,7,,0,,8.260.273-9,56999999999,Carrascal,221,Santiago,-,Macul,CL,1,2,5,2017-10-01
55,demo42@tooxs.com,$2a$11$WBoYk9mB/868Yygo7u94u.ocxD2ayZIeEAAN0r2QOi0.XURKVK0NW,,,,0,,,,,2018-11-19 14:08:22.776018,2018-11-19 14:08:22.776018,Claudia,Ruiz,,7,,0,,8.291.418-8,56999999999,Loreto,323,Santiago,-,Providencia,CL,2,2,1,2017-10-01
56,demo41@tooxs.com,$2a$11$oaUgEOj8al3XpfxEPIX2qOR4ISo/.aqsrq.WA1mr65.X0PGl9vsPe,,,,0,,,,,2018-11-19 14:08:23.08645,2018-11-19 14:08:23.08645,Macarena,Lopez,,7,,0,,19.461.711-9,56999999999,Tobalaba,234,Santiago,-,Maipu,CL,5,2,1,2017-10-01
57,demo61@tooxs.com,$2a$11$O6198oN3cJqnI./N7o3a6.u/1Onrzn0fTbbfbqi3HH3qbhgKJDEEW,,,,0,,,,,2018-11-19 14:08:23.400903,2018-11-19 14:08:23.400903,Beatriz,Perez,,7,,0,,11.805.771-6,56999999999,Lo Beltran,323,Santiago,-,Providencia,CL,1,2,1,2017-10-01
58,demo60@tooxs.com,$2a$11$CJz.D1OUaFYP2u.Xe45J1.JlOyss.4kRFH84uWN5MTrTgEVu1fGWO,,,,0,,,,,2018-11-19 14:08:23.63329,2018-11-19 14:08:23.63329,Juan Manuel,Rodriguez,,7,,0,,4.148.862-K,56999999999,"",64,Santiago,-,Providencia,CL,5,2,2,2017-10-01
60,fperez@tooxs.com,$2a$11$d5w3vg3b3nmrDQ1tO64/q.y8nddLYyO6ntxwNzHFKvEuY51zXQ2n6,,,,1,2017-08-30 18:46:58,2017-08-30 18:46:58,,127.0.0.1,2018-11-19 14:08:24.148643,2018-11-19 14:08:24.148643,Sergio,Torres,Andrades,0,,0,,151599516,,,,,,,,1,1,,
61,storres@tooxs.com,$2a$11$eFnqE3qJshc8V/fTBwkjV.BZObnBqMayw8JuJK1QtIjni5Ra0WNRO,,,,0,,,,,2018-11-19 14:08:24.394258,2018-11-19 14:08:24.394258,Fernando,Perez,"",0,"",0,"","",,,,,,,,1,1,,
62,fvallauri@tooxs.com,$2a$11$2Pv44afZksb1sdYHjAgq0uW7ZLHrEjcurwBY81wgm/RMwBr4Wx4Ca,,,,0,,,,,2018-11-19 14:08:24.660841,2018-11-19 14:08:24.660841,Francisco,Vallauri,"",0,"",0,"","",,,,,,,,1,1,,
59,admin@tooxs.com,$2a$11$vI8pGr6heoibfuyc/WFXG.LGYYkDBtZw9.mwf01XpCLr/eKAnf0Q.,,,,112,2018-11-19 15:37:49.073563,2018-10-18 14:30:44,127.0.0.1,127.0.0.1,2018-11-19 14:08:23.85589,2018-11-19 15:37:49.075637,Administrador,sales,force,0,,0,,111111111,,,,,,,,1,1,,
